id,member_id,type,messageContent,sendDate,channel,created_by,modified_by,created_on,modified_on,mansoft_tenant_id
f8fa2180-bcc7-44ce-a316-5733431bed60,bebc2037-5cdb-4862-a35f-8c8c18be85f8,Alert,Notification for Angela Castillo,2024-09-16,mobile_app,system,system,2024-09-16 05:55:45,2024-09-16 05:55:45,tenant_001
f7487bc1-782e-4dc5-8b3d-f45dd5066f97,bebc2037-5cdb-4862-a35f-8c8c18be85f8,Update,Notification for Angela Castillo,2024-03-21,sms,system,system,2024-03-21 06:44:19,2024-03-21 06:44:19,tenant_001
db0ce0fb-2234-415e-8b96-8d3d5580ad02,bebc2037-5cdb-4862-a35f-8c8c18be85f8,Alert,Notification for Angela Castillo,2024-02-06,sms,system,system,2024-02-06 16:21:27,2024-02-06 16:21:27,tenant_001
7fd57563-4978-45fc-8fa4-04e330a18ea1,bebc2037-5cdb-4862-a35f-8c8c18be85f8,Alert,Notification for Angela Castillo,2024-02-05,sms,system,system,2024-02-05 22:47:40,2024-02-05 22:47:40,tenant_001
688074af-7173-49f0-a3df-fb3d1f2c9cd9,bebc2037-5cdb-4862-a35f-8c8c18be85f8,Meeting,Notification for Angela Castillo,2024-11-25,mobile_app,system,system,2024-11-25 00:15:34,2024-11-25 00:15:34,tenant_001
a8f4eb95-ea50-44bc-aae9-ea0d4d4a633c,bebc2037-5cdb-4862-a35f-8c8c18be85f8,Alert,Notification for Angela Castillo,2024-05-25,mobile_app,system,system,2024-05-25 14:26:46,2024-05-25 14:26:46,tenant_001
5d17d23d-4cdd-4f2f-8872-7666dc73f7a5,bebc2037-5cdb-4862-a35f-8c8c18be85f8,Alert,Notification for Angela Castillo,2024-12-28,mobile_app,system,system,2024-12-28 02:18:15,2024-12-28 02:18:15,tenant_001
3db69924-d00e-4549-8ce9-6e06a84a0924,bebc2037-5cdb-4862-a35f-8c8c18be85f8,Reminder,Notification for Angela Castillo,2025-02-09,mobile_app,system,system,2025-02-09 04:18:52,2025-02-09 04:18:52,tenant_001
f106b043-bd67-427b-86e0-8ec925e82833,bebc2037-5cdb-4862-a35f-8c8c18be85f8,Update,Notification for Angela Castillo,2024-03-05,mobile_app,system,system,2024-03-05 16:13:19,2024-03-05 16:13:19,tenant_001
0a81b9b0-ebba-49ea-98f3-857f26668db9,bebc2037-5cdb-4862-a35f-8c8c18be85f8,Alert,Notification for Angela Castillo,2024-12-08,email,system,system,2024-12-08 21:17:09,2024-12-08 21:17:09,tenant_001
5eee58a6-dc20-425b-957b-a333b9cbbf33,bebc2037-5cdb-4862-a35f-8c8c18be85f8,Update,Notification for Angela Castillo,2025-11-08,sms,system,system,2025-11-08 07:17:07,2025-11-08 07:17:07,tenant_001
075c3d5a-3ba2-472e-9eaa-253060288259,bebc2037-5cdb-4862-a35f-8c8c18be85f8,Alert,Notification for Angela Castillo,2024-01-17,sms,system,system,2024-01-17 14:17:26,2024-01-17 14:17:26,tenant_001
24a93fb6-a174-487b-a010-dfdcd9dc4fc3,bebc2037-5cdb-4862-a35f-8c8c18be85f8,Update,Notification for Angela Castillo,2025-11-24,mobile_app,system,system,2025-11-24 18:44:38,2025-11-24 18:44:38,tenant_001
fa3ddabf-8f4a-4b5c-8e30-58a48e9b5644,bebc2037-5cdb-4862-a35f-8c8c18be85f8,Alert,Notification for Angela Castillo,2025-11-10,sms,system,system,2025-11-10 00:34:08,2025-11-10 00:34:08,tenant_001
6cc6a6c5-e0f8-467a-bf19-9ea98395aa46,bebc2037-5cdb-4862-a35f-8c8c18be85f8,Meeting,Notification for Angela Castillo,2025-03-18,email,system,system,2025-03-18 19:05:24,2025-03-18 19:05:24,tenant_001
