id,member_id,type,messageContent,sendDate,channel,created_by,modified_by,created_on,modified_on,mansoft_tenant_id
79d11c43-cc4f-4bde-a330-b17c1a0a01a8,ac9b8842-abde-49d5-a109-60359917fdb3,Member Feedback,"Lost my passbook, need replacement",2024-12-10,Meeting,system,system,2024-12-10 00:00:00,2024-12-10 00:00:00,tenant_001
cf521f1b-5568-4ede-9a13-cb971931da13,ac9b8842-abde-49d5-a109-60359917fdb3,Member Feedback,Thank you for approving my loan quickly,2025-12-16,Mobile App,system,system,2025-12-16 00:00:00,2025-12-16 00:00:00,tenant_001
f5efd1e7-e862-4761-8a57-a284eb409033,ac9b8842-abde-49d5-a109-60359917fdb3,Member Feedback,Requesting loan statement for 2024,2024-09-05,Email,system,system,2024-09-05 00:00:00,2024-09-05 00:00:00,tenant_001
e500b652-4218-4261-b226-026851ff2c06,ac9b8842-abde-49d5-a109-60359917fdb3,Loan Application,Expanding maize farm to 5 acres,2024-09-10,SMS,system,system,2024-09-10 00:00:00,2024-09-10 00:00:00,tenant_001
875ba7b8-2b78-4290-a6f2-4d4ee601d597,ac9b8842-abde-49d5-a109-60359917fdb3,Member Feedback,When will annual dividends be distributed?,2025-06-13,Mobile App,system,system,2025-06-13 00:00:00,2025-06-13 00:00:00,tenant_001
cb123a45-579d-46a6-9835-13cf2eedfb25,aa1f1eb6-4316-4918-9c95-a9d53a71bba8,Loan Application,School uniform and books,2021-09-16,Meeting,system,system,2021-09-16 00:00:00,2021-09-16 00:00:00,tenant_001
fd9c976b-faea-410d-96a2-c5c910e5c5d9,aa1f1eb6-4316-4918-9c95-a9d53a71bba8,Loan Application,Construction materials for shop,2022-07-22,Mobile App,system,system,2022-07-22 00:00:00,2022-07-22 00:00:00,tenant_001
97c11640-8a0f-4453-aa67-41ff7386dc8b,aa1f1eb6-4316-4918-9c95-a9d53a71bba8,Member Feedback,Requesting loan statement for 2024,2022-12-21,Email,system,system,2022-12-21 00:00:00,2022-12-21 00:00:00,tenant_001
3323e70d-c2b2-4373-aafb-a1767a4a695c,aa1f1eb6-4316-4918-9c95-a9d53a71bba8,Loan Application,Restocking my supermarket,2021-07-22,WhatsApp,system,system,2021-07-22 00:00:00,2021-07-22 00:00:00,tenant_001
2dd53aa6-8410-4284-8511-3ce601cfa3c1,aa1f1eb6-4316-4918-9c95-a9d53a71bba8,Loan Application,School uniform and books,2022-04-20,WhatsApp,system,system,2022-04-20 00:00:00,2022-04-20 00:00:00,tenant_001
