id,group_id,firstName,lastName,email,phoneNumber,password,joinDate,status,role,created_by,modified_by,created_on,modified_on,mansoft_tenant_id
ac9b8842-abde-49d5-a109-60359917fdb3,grp_024,Simon,Nyokabi,dorothy.wambui1@gmail.com,+254781895659,$2y$10$hashedpasswordexample123456789012,2024-07-25,Active,Member,system,system,2024-07-25 00:00:00,2024-07-25 00:00:00,tenant_001
aa1f1eb6-4316-4918-9c95-a9d53a71bba8,grp_029,Dorothy,Aoko,richard.kosgei2@gmail.com,+254792124277,$2y$10$hashedpasswordexample123456789012,2020-12-15,Active,Member,system,system,2020-12-15 00:00:00,2020-12-15 00:00:00,tenant_001
c987aa14-43fc-4a0a-96c0-83bff298ee96,grp_029,Sarah,Kiplagat,kevin.adhiambo3@gmail.com,+254797329382,$2y$10$hashedpasswordexample123456789012,2024-06-28,Active,Member,system,system,2024-06-28 00:00:00,2024-06-28 00:00:00,tenant_001
779e73ed-6320-4356-bf0d-00f5d7a9a16a,grp_013,Paul,Onyango,joy.akinyi4@gmail.com,+254767158991,$2y$10$hashedpasswordexample123456789012,2022-08-08,Active,Member,system,system,2022-08-08 00:00:00,2022-08-08 00:00:00,tenant_001
bd5ecd05-6e07-44f0-afa0-bbc96b0599b7,grp_007,Martin,Muthoni,mildred.chepkoech5@gmail.com,+254747522908,$2y$10$hashedpasswordexample123456789012,2024-05-15,Active,Member,system,system,2024-05-15 00:00:00,2024-05-15 00:00:00,tenant_001
1134e361-9b60-4d70-b5ae-c802c1b6bf26,grp_017,Nancy,Kiplagat,philip.ochieng6@gmail.com,+254711694003,$2y$10$hashedpasswordexample123456789012,2020-07-18,Active,Member,system,system,2020-07-18 00:00:00,2020-07-18 00:00:00,tenant_001
2c081cb6-ab62-4933-a7ff-bad0f2147d09,grp_039,Simon,Kemboi,philip.anyango7@gmail.com,+254780521348,$2y$10$hashedpasswordexample123456789012,2020-06-29,Active,Member,system,system,2020-06-29 00:00:00,2020-06-29 00:00:00,tenant_001
89e04be9-4886-44cc-9db8-7d9bd746c25d,grp_043,Sarah,Owino,stephen.kemboi8@gmail.com,+254777204003,$2y$10$hashedpasswordexample123456789012,2022-03-04,Active,Member,system,system,2022-03-04 00:00:00,2022-03-04 00:00:00,tenant_001
899f36fb-4001-4a60-926e-7b3137b05c31,grp_018,Rose,Omondi,mercy.achieng9@gmail.com,+254732108230,$2y$10$hashedpasswordexample123456789012,2021-09-18,Active,Member,system,system,2021-09-18 00:00:00,2021-09-18 00:00:00,tenant_001
d63d265e-efff-4caa-b922-bd8fdb7982e9,grp_003,Rose,Ochieng,beatrice.kosgei10@gmail.com,+254754552477,$2y$10$hashedpasswordexample123456789012,2023-11-05,Active,Member,system,system,2023-11-05 00:00:00,2023-11-05 00:00:00,tenant_001
